Base,Link,Mantenedor,Cidade,Estado,Pais,Bandeira,Categoria,Tags
Portal da Transparência do Município de Sousa,http://sousa.pb.gov.br/cont.php?pagina=transparencia,Sousa,Sousa,PB,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Picuí,https://www.picui.pb.gov.br/portal/transparencia-fiscal,Picuí,Picuí,PB,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Patos,http://patos.pb.gov.br/servicos/portal_da_transparencia,Patos,Patos,PB,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Pombal,http://pombal.pb.gov.br/transparencia/,Pombal,Pombal,PB,Brasil,Brasil,,Municipal
Portal de Dados Abertos do Município de Curitiba,http://curitiba.pr.gov.br/dadosabertos/,Curitiba,Curitiba,PR,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Londrina,http://www.londrina.pr.gov.br/index.php?option=com_content&view=section&id=23&Itemid=1765,Londrinha,Londrinha,PR,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Maringá,http://venus.maringa.pr.gov.br:9900/portaltransparencia/,Maringá,Maringá,PR,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Ponta Grossa,http://transparencia.pontagrossa.pr.gov.br/,Ponta Grossa,Ponta Grossa,PR,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Cascavel,https://cascavel.atende.net/?pg=transparencia#!/,Cascavel,Cascavel,PR,Brasil,Brasil,,Municipal
Portal da Transparência do Município de São José dos Pinhais,http://transparencia.sjp.pr.gov.br/,São José dos Pinhais,São José dos Pinhais,PR,Brasil,Brasil,,Municipal
Portal de Dados Abertos do Município de Recife,http://dados.recife.pe.gov.br,Recife,Recife,PE,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Olinda,http://transparencia.olinda.pe.gov.br/pronimtb/,Olinda,Olinda,PE,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Caruaru,http://caruarupe.transparencianomunicipio.com.br/,Caruaru,Caruaru,PE,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Paulista,http://transparencia.paulista.pe.gov.br/codigos/web/geral/home.php,Paulista,Paulista,PE,Brasil,Brasil,,Municipal
Prefeitura de Salgueiro,http://www.salgueiro.pe.gov.br/transparencia/index.htm,Salgueiro,Salgueiro,PE,Brasil,Brasil,,Municipal
Prefeitura de Petrolina,http://transparencia.petrolina.pe.gov.br/,Petrolina,Petrolina,PE,Brasil,Brasil,,Municipal
Prefeitura de Jaboatão dos Guararapes,https://portaldatransparencia.jaboatao.pe.gov.br/,Guararapes,Guararapes,PE,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Teresina,http://transparencia.teresina.pi.gov.br,Teresina,Teresina,PI,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Boqueirão do Piauí,http://www.boqueiraodopiaui.pi.gov.br/boqueiraodopiaui/,Boqueirão do Piauí,Boqueirão do Piauí,PI,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Campo Maior,http://200.98.143.125:8080/portaltransparencia,Campo Maior,Campo Maior,PI,Brasil,Brasil,,Municipal
Portal da Transparência do Município de Jatobá do Piauí,http://jatobadopiaui.pi.gov.br/jatobadopiaui/,Jatobá do Piauí,Jatobá do Piauí,PI,Brasil,Brasil,,Municipal
Prefeitura de Angra dos Reis,http://www.angra.rj.gov.br/secretaria.asp?indexsigla=transp,Angra dos Reis,Angra dos Reis,RJ,Brasil,Brasil,,Municipal
Prefeitura de Aperibé,http://www.aperibe.rj.gov.br/portal,Aperibé,Aperibé,RJ,Brasil,Brasil,,Municipal
Prefeitura de Araruama,https://www.araruama.rj.gov.br/transparencia/,Araruama,Araruama,RJ,Brasil,Brasil,,Municipal
Prefeitura de Areal,http://areal.rj.gov.br/portal-da-transparencia-2/,Areal,Areal,RJ,Brasil,Brasil,,Municipal
Prefeitura de Armação dos Búzios,http://www.buzios.rj.gov.br/transparencia/Default,Armação dos Búzios,Armação dos Búzios,RJ,Brasil,Brasil,,Municipal
Prefeitura de Arraial do Cabo,http://186.237.32.90:2018/contaspublicas/,Arraial do Cabo,Arraial do Cabo,RJ,Brasil,Brasil,,Municipal
Prefeitura de Barra do Piraí,http://transparencia.portalbarradopirai.com.br/index.php/pt/,Barra do Piraí,Barra do Piraí,RJ,Brasil,Brasil,,Municipal
Prefeitura de Barra Mansa,http://www.barramansa.rj.gov.br/transparencia/index.php/en/,Barra Mansa,Barra Mansa,RJ,Brasil,Brasil,,Municipal
Prefeitura de Belford Roxo,http://transparencia.prefeituradebelfordroxo.rj.gov.br/,Belford Roxo,Belford Roxo,RJ,Brasil,Brasil,,Municipal
Prefeitura de Bom Jardim,http://www.bomjardim.rj.gov.br/e-sic/,Bom Jardim,Bom Jardim,RJ,Brasil,Brasil,,Municipal
